conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;;;;;
1884954997177381066,Thu Jan 30 23:00:34 +0000 2025,0,@AirinDatangLagi Buzz3r punya kebiasaan cm share gambar bukan link. Karena biar gampang terpancing judul tanpabacs beritanya trus maki2. Pekerjaan paling asw adalah buzz3r krn tiap hari kerjaannya menghasut dan memprovokasi orang https://t.co/X2wp7rlxTn,1885100823199572158,,AirinDatangLagi,in,,0,0,0,https://x.com/undefined/status/1885100823199572158,947904056839639040,;;;;;
1884953522241728645,Thu Jan 30 22:53:23 +0000 2025,0,@kangsolci @FOODFESS2 11-13 menu mbg,1885099017929187479,,kangsolci,in,,0,0,0,https://x.com/undefined/status/1885099017929187479,1200914690034978816,;;;;;
1884846538163130608,Thu Jan 30 22:48:55 +0000 2025,0,@BaseAnakFK prioritas utama MBG tapi pas diliat realisasi MBG kek ngak layak lalu apakabar nanti pendidikan dan kesehatannya ? apa masih layak ?,1885097890881954182,,BaseAnakFK,in,,0,0,0,https://x.com/undefined/status/1885097890881954182,1517580694511562753,;;;;;
1884970390751154303,Thu Jan 30 22:48:08 +0000 2025,4,@ardisatriawan @sagitaninta Anggaran MBG pas bulan puasa hemat berapa ya? Lumayan buat nambah2 Tukin dosen haha,1885097692927504579,,ardisatriawan,in,,0,0,1,https://x.com/undefined/status/1885097692927504579,1085098880037842944,;;;;;
1884907967017075182,Thu Jan 30 22:44:56 +0000 2025,0,@Twillight_Loid merah shg srg denger model pembayarannya plus gak percaya sm kredibilitas program MBG ini saya ga mau. Untung ngikut kata hati. Kasian kl sampe kejadian ikut nombok gede gini. Saya bakalan ngrasa bersalah banget,1885096888346829058,,ydan_,in,,0,0,0,https://x.com/undefined/status/1885096888346829058,158248732,;;;;;
1884884915176755211,Thu Jan 30 22:44:03 +0000 2025,0,@Adiprayitno_20 kemarin sempat viral yg katanya akan import sapi ratusan ribu bahkan jutaan buat mensukseskan program MBG sekarang serangga jadi alternatif apa ada niat mau import serangga juga??? entahlah... https://t.co/0s5LmEFJ2m,1885096665906123010,https://pbs.twimg.com/media/Gik1bEsbYAAxRnN.jpg,Adiprayitno_20,in,,0,0,0,https://x.com/undefined/status/1885096665906123010,1069543625762136064,;;;;;
1884953522241728645,Thu Jan 30 22:43:38 +0000 2025,0,@Alydrsss @moringeues @FOODFESS2 Kyk MBG yah,1885096562273247539,,Alydrsss,in,,0,0,0,https://x.com/undefined/status/1885096562273247539,1291566104179961856,;;;;;
1884952202537730483,Thu Jan 30 22:43:32 +0000 2025,0,@tempodotco Jangankan nyawa pak?! Menyisihkan harta untuk program makan siang gratis aja ogah rekayasa bukti paling depan mereka. makan menu seadanya tapi wapres bapak kemana mana pakai dana operasional buat bagi bagi bansos! Lah mending buat mbg lebih terfokus @prabowo,1885096538835468485,,tempodotco,in,,0,0,0,https://x.com/undefined/status/1885096538835468485,1742049679037407232,;;;;;
1885096293594214807,Thu Jan 30 22:42:34 +0000 2025,0,Drag him MBG!,1885096293594214807,,,in,,0,0,0,https://x.com/undefined/status/1885096293594214807,16231550,;;;;;
1884907967017075182,Thu Jan 30 22:42:07 +0000 2025,0,@Twillight_Loid Pas kapan suami dpt info dr tmnnya di sebuah organisasi ttg tawaran jadi vendor MBG. Dia sempet ngide spy saya nawarin kenalan baik yg kbtulan biasa masak2 utk ngajuin nama. Maksudnya biar sesekali bs dpt cuan gede. Nah krn sy dlu pernah bbrp kali ngikut proyekan yg kliennya plat,1885096181241704653,,Twillight_Loid,in,,0,1,0,https://x.com/undefined/status/1885096181241704653,158248732,;;;;;
